# Method, Target component, Property, Sub-component, Restriction
REPLY,VTODO,ATTACH,NONE,ZEROPLUS
REPLY,VTODO,CATEGORIES,NONE,ZEROPLUS #Non-Standard
REPLY,VTODO,CLASS,NONE,ZEROORONE
REPLY,VTODO,COMMENT,NONE,ZEROORONE
REPLY,VTODO,CONTACT,NONE,ZEROPLUS
REPLY,VTODO,CREATED,NONE,ZEROORONE
REPLY,VTODO,DESCRIPTION,NONE,ZEROORONE
REPLY,VTODO,DTSTART,NONE,ZEROORONE
REPLY,VTODO,DUE,NONE,ZEROORONE
REPLY,VTODO,DURATION,NONE,ZEROORONE
REPLY,VTODO,EXDATE,NONE,ZEROPLUS
REPLY,VTODO,EXRULE,NONE,ZEROPLUS
REPLY,VTODO,GEO,NONE,ZEROORONE
REPLY,VTODO,LASTMODIFIED,NONE,ZEROORONE
REPLY,VTODO,LOCATION,NONE,ZEROORONE
REPLY,VTODO,PERCENTCOMPLETE,NONE,ZEROORONE
REPLY,VTODO,PRIORITY,NONE,ZEROORONE
REPLY,VTODO,RDATE,NONE,ZEROPLUS
REPLY,VTODO,RELATEDTO,NONE,ZEROPLUS
REPLY,VTODO,RESOURCES,NONE,ZEROORONE
REPLY,VTODO,RRULE,NONE,ZEROPLUS
REPLY,VTODO,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
REPLY,VTODO,SEQUENCE,NONE,ZEROORONE
REPLY,VTODO,STATUS,NONE,ZEROORONE
REPLY,VTODO,SUMMARY,NONE,ZEROORONE
REPLY,VTODO,URL,NONE,ZEROORONE
REPLY,VTODO,X,NONE,ZEROPLUS
REPLY,VTODO,NONE,VTIMEZONE,ZEROORONE
REPLY,VTODO,NONE,X,ZEROPLUS
REPLY,VTODO,NONE,VALARM,ZERO
REPLY,VTODO,NONE,VEVENT,ZERO
REPLY,VTODO,NONE,VFREEBUSY,ZERO
ADD,VTODO,NONE,NONE,ONE
ADD,VTODO,DTSTAMP,NONE,ONE
ADD,VTODO,ORGANIZER,NONE,ONE
ADD,VTODO,PRIORITY,NONE,ONE
ADD,VTODO,SEQUENCE,NONE,ONE
ADD,VTODO,SUMMARY,NONE,ONE
ADD,VTODO,UID,NONE,ONE
ADD,VTODO,ATTACH,NONE,ZEROPLUS
ADD,VTODO,ATTENDEE,NONE,ZEROPLUS
ADD,VTODO,CATEGORIES,NONE,ZEROPLUS
ADD,VTODO,CLASS,NONE,ZEROORONE
ADD,VTODO,COMMENT,NONE,ZEROORONE
ADD,VTODO,CONTACT,NONE,ZEROPLUS
ADD,VTODO,CREATED,NONE,ZEROORONE
ADD,VTODO,DESCRIPTION,NONE,ZEROORONE
ADD,VTODO,DTSTART,NONE,ZEROORONE
ADD,VTODO,DUE,NONE,ZEROORONE
ADD,VTODO,DURATION,NONE,ZEROORONE
ADD,VTODO,EXDATE,NONE,ZEROPLUS
ADD,VTODO,EXRULE,NONE,ZEROPLUS
ADD,VTODO,GEO,NONE,ZEROORONE
ADD,VTODO,LASTMODIFIED,NONE,ZEROORONE
ADD,VTODO,LOCATION,NONE,ZEROORONE
ADD,VTODO,PERCENTCOMPLETE,NONE,ZEROORONE
ADD,VTODO,RDATE,NONE,ZEROPLUS
ADD,VTODO,RELATEDTO,NONE,ZEROPLUS
ADD,VTODO,RESOURCES,NONE,ZEROORONE
ADD,VTODO,RRULE,NONE,ZEROPLUS
ADD,VTODO,STATUS,NONE,ZEROORONE,may_be_comp_need_process
ADD,VTODO,URL,NONE,ZEROORONE
ADD,VTODO,X,NONE,ZEROPLUS
ADD,VTODO,RECURRENCEID,NONE,ZERO,must_be_recurring
ADD,VTODO,REQUESTSTATUS,NONE,ZERO
ADD,VTODO,NONE,VALARM,ZEROPLUS
ADD,VTODO,NONE,VTIMEZONE,ZEROPLUS
ADD,VTODO,NONE,X,ZEROPLUS
ADD,VTODO,NONE,VEVENT,ZERO
ADD,VTODO,NONE,VJOURNAL,ZERO
ADD,VTODO,NONE,VFREEBUSY,ZERO
CANCEL,VTODO,NONE,NONE,ONE
CANCEL,VTODO,ATTENDEE,NONE,ZEROPLUS
CANCEL,VTODO,UID,NONE,ONE
CANCEL,VTODO,DTSTAMP,NONE,ONE
CANCEL,VTODO,ORGANIZER,NONE,ONE
CANCEL,VTODO,SEQUENCE,NONE,ONE
CANCEL,VTODO,ATTACH,NONE,ZEROPLUS
CANCEL,VTODO,CATEGORIES,NONE,ZEROPLUS #Non-Standard
CANCEL,VTODO,CLASS,NONE,ZEROORONE
CANCEL,VTODO,COMMENT,NONE,ZEROORONE
CANCEL,VTODO,CONTACT,NONE,ZEROPLUS
CANCEL,VTODO,CREATED,NONE,ZEROORONE
CANCEL,VTODO,DESCRIPTION,NONE,ZEROORONE
CANCEL,VTODO,DTSTART,NONE,ZEROORONE
CANCEL,VTODO,DUE,NONE,ZEROORONE
CANCEL,VTODO,DURATION,NONE,ZEROORONE
CANCEL,VTODO,EXDATE,NONE,ZEROPLUS
CANCEL,VTODO,EXRULE,NONE,ZEROPLUS
CANCEL,VTODO,GEO,NONE,ZEROORONE
CANCEL,VTODO,LASTMODIFIED,NONE,ZEROORONE
CANCEL,VTODO,LOCATION,NONE,ZEROORONE
CANCEL,VTODO,PERCENTCOMPLETE,NONE,ZEROORONE
CANCEL,VTODO,RDATE,NONE,ZEROPLUS
CANCEL,VTODO,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
CANCEL,VTODO,RELATEDTO,NONE,ZEROPLUS
CANCEL,VTODO,RESOURCES,NONE,ZEROORONE
CANCEL,VTODO,RRULE,NONE,ZEROPLUS
CANCEL,VTODO,PRIORITY,NONE,ZEROORONE
CANCEL,VTODO,STATUS,NONE,ZEROORONE,must_be_canceled_no_attendee
CANCEL,VTODO,URL,NONE,ZEROORONE
CANCEL,VTODO,X,NONE,ZEROPLUS
CANCEL,VTODO,REQUESTSTATUS,NONE,ZERO
CANCEL,VTODO,NONE,VTIMEZONE,ZEROORONE
CANCEL,VTODO,NONE,X,ZEROPLUS
CANCEL,VTODO,NONE,VALARM,ZERO
CANCEL,VTODO,NONE,VEVENT,ZERO
CANCEL,VTODO,NONE,VFREEBUSY,ZERO
REFRESH,VTODO,NONE,NONE,ONE
REFRESH,VTODO,ATTENDEE,NONE,ONE
REFRESH,VTODO,DTSTAMP,NONE,ONE
REFRESH,VTODO,UID,NONE,ONE
REFRESH,VTODO,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
REFRESH,VTODO,X,NONE,ZEROPLUS
REFRESH,VTODO,ATTACH,NONE,ZERO
REFRESH,VTODO,CATEGORIES,NONE,ZERO
REFRESH,VTODO,CLASS,NONE,ZERO
REFRESH,VTODO,COMMENT,NONE,ZERO
REFRESH,VTODO,CONTACT,NONE,ZERO
REFRESH,VTODO,CREATED,NONE,ZERO
REFRESH,VTODO,DESCRIPTION,NONE,ZERO
REFRESH,VTODO,DTSTART,NONE,ZERO
REFRESH,VTODO,DUE,NONE,ZERO
REFRESH,VTODO,DURATION,NONE,ZERO
REFRESH,VTODO,EXDATE,NONE,ZERO
REFRESH,VTODO,EXRULE,NONE,ZERO
REFRESH,VTODO,GEO,NONE,ZERO
REFRESH,VTODO,LASTMODIFIED,NONE,ZERO
REFRESH,VTODO,LOCATION,NONE,ZERO
REFRESH,VTODO,ORGANIZER,NONE,ZERO
REFRESH,VTODO,PERCENTCOMPLETE,NONE,ZERO
REFRESH,VTODO,PRIORITY,NONE,ZERO
REFRESH,VTODO,RDATE,NONE,ZERO
REFRESH,VTODO,RELATEDTO,NONE,ZERO
REFRESH,VTODO,REQUESTSTATUS,NONE,ZERO
REFRESH,VTODO,RESOURCES,NONE,ZERO
REFRESH,VTODO,RRULE,NONE,ZERO
REFRESH,VTODO,SEQUENCE,NONE,ZERO
REFRESH,VTODO,STATUS,NONE,ZERO
REFRESH,VTODO,URL,NONE,ZERO
REFRESH,VTODO,NONE,X,ZEROPLUS
REFRESH,VTODO,NONE,VALARM,ZERO
REFRESH,VTODO,NONE,VEVENT,ZERO
REFRESH,VTODO,NONE,VFREEBUSY,ZERO
REFRESH,VTODO,NONE,VTIMEZONE,ZERO
COUNTER,VTODO,NONE,NONE,ONE
COUNTER,VTODO,ATTENDEE,NONE,ONEPLUS
COUNTER,VTODO,DTSTAMP,NONE,ONE
COUNTER,VTODO,ORGANIZER,NONE,ONE
COUNTER,VTODO,PRIORITY,NONE,ONE
COUNTER,VTODO,SUMMARY,NONE,ONE
COUNTER,VTODO,UID,NONE,ONE
COUNTER,VTODO,ATTACH,NONE,ZEROPLUS
COUNTER,VTODO,CATEGORIES,NONE,ZEROPLUS #Non-standard
COUNTER,VTODO,CLASS,NONE,ZEROORONE
COUNTER,VTODO,COMMENT,NONE,ZEROORONE
COUNTER,VTODO,CONTACT,NONE,ZEROPLUS
COUNTER,VTODO,CREATED,NONE,ZEROORONE
COUNTER,VTODO,DESCRIPTION,NONE,ZEROORONE
COUNTER,VTODO,DTSTART,NONE,ZEROORONE
COUNTER,VTODO,DUE,NONE,ZEROORONE
COUNTER,VTODO,DURATION,NONE,ZEROORONE
COUNTER,VTODO,EXDATE,NONE,ZEROPLUS
COUNTER,VTODO,EXRULE,NONE,ZEROPLUS
COUNTER,VTODO,GEO,NONE,ZEROORONE
COUNTER,VTODO,LASTMODIFIED,NONE,ZEROORONE
COUNTER,VTODO,LOCATION,NONE,ZEROORONE
COUNTER,VTODO,PERCENTCOMPLETE,NONE,ZEROORONE
COUNTER,VTODO,RDATE,NONE,ZEROPLUS
COUNTER,VTODO,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
COUNTER,VTODO,RELATEDTO,NONE,ZEROPLUS
COUNTER,VTODO,REQUESTSTATUS,NONE,ZEROPLUS
COUNTER,VTODO,RESOURCES,NONE,ZEROORONE
COUNTER,VTODO,RRULE,NONE,ZEROORONE
COUNTER,VTODO,SEQUENCE,NONE,ZEROORONE
COUNTER,VTODO,STATUS,NONE,ZEROORONE,may_be_comp_need_process
COUNTER,VTODO,URL,NONE,ZEROORONE
COUNTER,VTODO,X,NONE,ZEROPLUS
COUNTER,VTODO,NONE,VALARM,ZEROPLUS
COUNTER,VTODO,NONE,VTIMEZONE,ZEROORONE
COUNTER,VTODO,NONE,X,ZEROPLUS
COUNTER,VTODO,NONE,VEVENT,ZERO
COUNTER,VTODO,NONE,VFREEBUSY,ZERO
DECLINECOUNTER,VTODO,NONE,NONE,ONE
DECLINECOUNTER,VTODO,ATTENDEE,NONE,ONEPLUS
DECLINECOUNTER,VTODO,DTSTAMP,NONE,ONE
DECLINECOUNTER,VTODO,ORGANIZER,NONE,ONE
DECLINECOUNTER,VTODO,SEQUENCE,NONE,ONE
DECLINECOUNTER,VTODO,UID,NONE,ONE
DECLINECOUNTER,VTODO,ATTACH,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,CATEGORIES,NONE,ZEROPLUS #Non-standard
DECLINECOUNTER,VTODO,CLASS,NONE,ZEROORONE
DECLINECOUNTER,VTODO,COMMENT,NONE,ZEROORONE
DECLINECOUNTER,VTODO,CONTACT,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,CREATED,NONE,ZEROORONE
DECLINECOUNTER,VTODO,DESCRIPTION,NONE,ZEROORONE
DECLINECOUNTER,VTODO,DTSTART,NONE,ZEROORONE
DECLINECOUNTER,VTODO,DUE,NONE,ZEROORONE
DECLINECOUNTER,VTODO,DURATION,NONE,ZEROORONE
DECLINECOUNTER,VTODO,EXDATE,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,EXRULE,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,GEO,NONE,ZEROORONE
DECLINECOUNTER,VTODO,LASTMODIFIED,NONE,ZEROORONE
DECLINECOUNTER,VTODO,LOCATION,NONE,ZEROORONE
DECLINECOUNTER,VTODO,PERCENTCOMPLETE,NONE,ZEROORONE
DECLINECOUNTER,VTODO,PRIORITY,NONE,ZEROORONE
DECLINECOUNTER,VTODO,RDATE,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
DECLINECOUNTER,VTODO,RELATEDTO,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,REQUESTSTATUS,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,RESOURCES,NONE,ZEROORONE
DECLINECOUNTER,VTODO,RRULE,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,STATUS,NONE,ZEROORONE
DECLINECOUNTER,VTODO,URL,NONE,ZEROORONE
DECLINECOUNTER,VTODO,X,NONE,ZEROPLUS
DECLINECOUNTER,VTODO,NONE,VTIMEZONE,ZEROPLUS
DECLINECOUNTER,VTODO,NONE,X,ZEROPLUS
DECLINECOUNTER,VTODO,NONE,VALARM,ZERO
DECLINECOUNTER,VTODO,NONE,VEVENT,ZERO
DECLINECOUNTER,VTODO,NONE,VFREEBUSY,ZERO
PUBLISH,VJOURNAL,NONE,NONE,ONEPLUS
PUBLISH,VJOURNAL,DESCRIPTION,NONE,ONE
PUBLISH,VJOURNAL,DTSTAMP,NONE,ONE
PUBLISH,VJOURNAL,DTSTART,NONE,ONE
PUBLISH,VJOURNAL,ORGANIZER,NONE,ONE
PUBLISH,VJOURNAL,UID,NONE,ONE
PUBLISH,VJOURNAL,ATTACH,NONE,ZEROPLUS
PUBLISH,VJOURNAL,CATEGORIES,NONE,ZEROPLUS #Non-standard
PUBLISH,VJOURNAL,CLASS,NONE,ZEROORONE
PUBLISH,VJOURNAL,COMMENT,NONE,ZEROORONE
PUBLISH,VJOURNAL,CONTACT,NONE,ZEROPLUS
PUBLISH,VJOURNAL,CREATED,NONE,ZEROORONE
PUBLISH,VJOURNAL,EXDATE,NONE,ZEROPLUS
PUBLISH,VJOURNAL,EXRULE,NONE,ZEROPLUS
PUBLISH,VJOURNAL,LASTMODIFIED,NONE,ZEROORONE
PUBLISH,VJOURNAL,RDATE,NONE,ZEROPLUS
PUBLISH,VJOURNAL,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
PUBLISH,VJOURNAL,RELATEDTO,NONE,ZEROPLUS
PUBLISH,VJOURNAL,RRULE,NONE,ZEROPLUS
PUBLISH,VJOURNAL,SEQUENCE,NONE,ZEROORONE
PUBLISH,VJOURNAL,STATUS,NONE,ZEROORONE,may_be_draft_final_canceled
PUBLISH,VJOURNAL,SUMMARY,NONE,ZEROORONE
PUBLISH,VJOURNAL,URL,NONE,ZEROORONE
PUBLISH,VJOURNAL,X,NONE,ZEROPLUS
PUBLISH,VJOURNAL,ATTENDEE,NONE,ZERO
PUBLISH,VJOURNAL,NONE,VALARM,ZEROPLUS
PUBLISH,VJOURNAL,NONE,VTIMEZONE,ZEROPLUS
PUBLISH,VJOURNAL,NONE,X,ZEROPLUS
PUBLISH,VJOURNAL,NONE,VEVENT,ZERO
PUBLISH,VJOURNAL,NONE,VFREEBUSY,ZERO
PUBLISH,VJOURNAL,NONE,VTODO,ZERO
ADD,VJOURNAL,NONE,NONE,ONE
ADD,VJOURNAL,DESCRIPTION,NONE,ONE
ADD,VJOURNAL,DTSTAMP,NONE,ONE
ADD,VJOURNAL,DTSTART,NONE,ONE
ADD,VJOURNAL,ORGANIZER,NONE,ONE
ADD,VJOURNAL,SEQUENCE,NONE,ONE
ADD,VJOURNAL,UID,NONE,ONE
ADD,VJOURNAL,ATTACH,NONE,ZEROPLUS
ADD,VJOURNAL,CATEGORIES,NONE,ZEROPLUS #Non-standard
ADD,VJOURNAL,CLASS,NONE,ZEROORONE
ADD,VJOURNAL,COMMENT,NONE,ZEROORONE
ADD,VJOURNAL,CONTACT,NONE,ZEROPLUS
ADD,VJOURNAL,CREATED,NONE,ZEROORONE
ADD,VJOURNAL,EXDATE,NONE,ZEROPLUS
ADD,VJOURNAL,EXRULE,NONE,ZEROPLUS
ADD,VJOURNAL,LASTMODIFIED,NONE,ZEROORONE
ADD,VJOURNAL,RDATE,NONE,ZEROPLUS
ADD,VJOURNAL,RELATEDTO,NONE,ZEROPLUS
ADD,VJOURNAL,RRULE,NONE,ZEROPLUS
ADD,VJOURNAL,STATUS,NONE,ZEROORONE
ADD,VJOURNAL,SUMMARY,NONE,ZEROORONE
ADD,VJOURNAL,URL,NONE,ZEROORONE
ADD,VJOURNAL,X,NONE,ZEROPLUS
ADD,VJOURNAL,ATTENDEE,NONE,ZERO
ADD,VJOURNAL,RECURRENCEID,NONE,ZERO
ADD,VJOURNAL,NONE,VALARM,ZEROPLUS
ADD,VJOURNAL,NONE,VTIMEZONE,ZEROORONE
ADD,VJOURNAL,NONE,X,ZEROPLUS
ADD,VJOURNAL,NONE,VEVENT,ZERO
ADD,VJOURNAL,NONE,VFREEBUSY,ZERO
ADD,VJOURNAL,NONE,VTODO,ZERO
CANCEL,VJOURNAL,NONE,NONE,ONEPLUS
CANCEL,VJOURNAL,DTSTAMP,NONE,ONE
CANCEL,VJOURNAL,ORGANIZER,NONE,ONE
CANCEL,VJOURNAL,SEQUENCE,NONE,ONE
CANCEL,VJOURNAL,UID,NONE,ONE
CANCEL,VJOURNAL,ATTACH,NONE,ZEROPLUS
CANCEL,VJOURNAL,ATTENDEE,NONE,ZEROPLUS
CANCEL,VJOURNAL,CATEGORIES,NONE,ZEROPLUS #Non-standard
CANCEL,VJOURNAL,CLASS,NONE,ZEROORONE
CANCEL,VJOURNAL,COMMENT,NONE,ZEROORONE
CANCEL,VJOURNAL,CONTACT,NONE,ZEROPLUS
CANCEL,VJOURNAL,CREATED,NONE,ZEROORONE
CANCEL,VJOURNAL,DESCRIPTION,NONE,ZEROORONE
CANCEL,VJOURNAL,DTSTART,NONE,ZEROORONE
CANCEL,VJOURNAL,EXDATE,NONE,ZEROPLUS
CANCEL,VJOURNAL,EXRULE,NONE,ZEROPLUS
CANCEL,VJOURNAL,LASTMODIFIED,NONE,ZEROORONE
CANCEL,VJOURNAL,RDATE,NONE,ZEROPLUS
CANCEL,VJOURNAL,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
CANCEL,VJOURNAL,RELATEDTO,NONE,ZEROPLUS
CANCEL,VJOURNAL,RRULE,NONE,ZEROPLUS
CANCEL,VJOURNAL,STATUS,NONE,ZEROORONE,must_be_cancel_if_present
CANCEL,VJOURNAL,SUMMARY,NONE,ZEROORONE
CANCEL,VJOURNAL,URL,NONE,ZEROORONE
CANCEL,VJOURNAL,X,NONE,ZEROPLUS
CANCEL,VJOURNAL,REQUESTSTATUS,NONE,ZERO
CANCEL,VJOURNAL,NONE,VTIMEZONE,ZEROPLUS
CANCEL,VJOURNAL,NONE,X,ZEROPLUS
CANCEL,VJOURNAL,NONE,VALARM,ZERO
CANCEL,VJOURNAL,NONE,VEVENT,ZERO
CANCEL,VJOURNAL,NONE,VFREEBUSY,ZERO
CANCEL,VJOURNAL,NONE,VTODO,ZERO
NONE,VCALENDAR,ACTION,NONE,ZERO
NONE,VCALENDAR,ATTACH,NONE,ZERO
NONE,VCALENDAR,ATTENDEE,NONE,ZERO
NONE,VCALENDAR,CALSCALE,NONE,ZEROORONE
NONE,VCALENDAR,CATEGORIES,NONE,ZERO
NONE,VCALENDAR,CLASS,NONE,ZERO
NONE,VCALENDAR,COMMENT,NONE,ZERO
NONE,VCALENDAR,COMPLETED,NONE,ZERO
NONE,VCALENDAR,CONTACT,NONE,ZERO
NONE,VCALENDAR,CREATED,NONE,ZERO
NONE,VCALENDAR,DESCRIPTION,NONE,ZERO
NONE,VCALENDAR,DTEND,NONE,ZERO
NONE,VCALENDAR,DTSTAMP,NONE,ZERO
NONE,VCALENDAR,DTSTART,NONE,ZERO
NONE,VCALENDAR,DUE,NONE,ZERO
NONE,VCALENDAR,DURATION,NONE,ZERO
NONE,VCALENDAR,EXDATE,NONE,ZERO
NONE,VCALENDAR,EXRULE,NONE,ZERO
NONE,VCALENDAR,FREEBUSY,NONE,ZERO
NONE,VCALENDAR,GEO,NONE,ZERO
NONE,VCALENDAR,LASTMODIFIED,NONE,ZERO
NONE,VCALENDAR,LOCATION,NONE,ZERO
NONE,VCALENDAR,METHOD,NONE,ZEROORONE
NONE,VCALENDAR,ORGANIZER,NONE,ZERO
NONE,VCALENDAR,PERCENTCOMPLETE,NONE,ZERO
NONE,VCALENDAR,PRIORITY,NONE,ZERO
NONE,VCALENDAR,PRODID,NONE,ONE
NONE,VCALENDAR,RDATE,NONE,ZERO
NONE,VCALENDAR,RECURRENCEID,NONE,ZERO
NONE,VCALENDAR,RELATEDTO,NONE,ZERO
NONE,VCALENDAR,REPEAT,NONE,ZERO
NONE,VCALENDAR,REQUESTSTATUS,NONE,ZERO
NONE,VCALENDAR,RESOURCES,NONE,ZERO
NONE,VCALENDAR,RRULE,NONE,ZERO
NONE,VCALENDAR,SEQUENCE,NONE,ZERO
NONE,VCALENDAR,STATUS,NONE,ZERO
NONE,VCALENDAR,SUMMARY,NONE,ZERO
NONE,VCALENDAR,TRANSP,NONE,ZERO
NONE,VCALENDAR,TRIGGER,NONE,ZERO
NONE,VCALENDAR,TZID,NONE,ZERO
NONE,VCALENDAR,TZNAME,NONE,ZERO
NONE,VCALENDAR,TZOFFSETFROM,NONE,ZERO
NONE,VCALENDAR,TZOFFSETTO,NONE,ZERO
NONE,VCALENDAR,TZURL,NONE,ZERO
NONE,VCALENDAR,UID,NONE,ZERO
NONE,VCALENDAR,URL,NONE,ZERO
NONE,VCALENDAR,VERSION,NONE,ONE
NONE,VCALENDAR,X,NONE,ZEROPLUS
NONE,VEVENT,ACTION,NONE,ZERO
NONE,VEVENT,ATTACH,NONE,ZEROPLUS
NONE,VEVENT,ATTENDEE,NONE,ZEROPLUS
NONE,VEVENT,CALSCALE,NONE,ZERO
NONE,VEVENT,CATEGORIES,NONE,ZEROPLUS
NONE,VEVENT,CLASS,NONE,ZEROORONE
NONE,VEVENT,COMMENT,NONE,ZEROPLUS
NONE,VEVENT,COMPLETED,NONE,ZERO
NONE,VEVENT,CONTACT,NONE,ZEROPLUS
NONE,VEVENT,CREATED,NONE,ZEROORONE
NONE,VEVENT,DESCRIPTION,NONE,ZEROORONE
NONE,VEVENT,DTEND,NONE,ONEEXCLUSIVE,no_duration
NONE,VEVENT,DTSTAMP,NONE,ZEROORONE
NONE,VEVENT,DTSTART,NONE,ZEROORONE
NONE,VEVENT,DUE,NONE,ZERO
NONE,VEVENT,DURATION,NONE,ONEEXCLUSIVE,no_duration
NONE,VEVENT,EXDATE,NONE,ZEROPLUS
NONE,VEVENT,EXRULE,NONE,ZEROPLUS
NONE,VEVENT,FREEBUSY,NONE,ZERO
NONE,VEVENT,GEO,NONE,ZEROORONE
NONE,VEVENT,LASTMODIFIED,NONE,ZEROORONE
NONE,VEVENT,LOCATION,NONE,ZEROORONE
NONE,VEVENT,METHOD,NONE,ZERO
NONE,VEVENT,ORGANIZER,NONE,ZEROORONE
NONE,VEVENT,PERCENTCOMPLETE,NONE,ZERO
NONE,VEVENT,PRIORITY,NONE,ZEROORONE
NONE,VEVENT,PRODID,NONE,ZERO
NONE,VEVENT,RDATE,NONE,ZEROPLUS
NONE,VEVENT,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
NONE,VEVENT,RELATEDTO,NONE,ZEROPLUS
NONE,VEVENT,REPEAT,NONE,ZERO
NONE,VEVENT,REQUESTSTATUS,NONE,ZEROPLUS
NONE,VEVENT,RESOURCES,NONE,ZEROPLUS
NONE,VEVENT,RRULE,NONE,ZEROPLUS
NONE,VEVENT,SEQUENCE,NONE,ZEROORONE
NONE,VEVENT,STATUS,NONE,ZEROORONE
NONE,VEVENT,SUMMARY,NONE,ZEROORONE
NONE,VEVENT,TRANSP,NONE,ZEROORONE
NONE,VEVENT,TRIGGER,NONE,ZERO
NONE,VEVENT,TZID,NONE,ZERO
NONE,VEVENT,TZNAME,NONE,ZERO
NONE,VEVENT,TZOFFSETFROM,NONE,ZERO
NONE,VEVENT,TZOFFSETTO,NONE,ZERO
NONE,VEVENT,TZURL,NONE,ZERO
NONE,VEVENT,UID,NONE,ZEROORONE
NONE,VEVENT,URL,NONE,ZEROORONE
NONE,VEVENT,VERSION,NONE,ZERO
NONE,VEVENT,X,NONE,ZEROPLUS
NONE,VTODO,ACTION,NONE,ZERO
NONE,VTODO,ATTACH,NONE,ZEROPLUS
NONE,VTODO,ATTENDEE,NONE,ZEROPLUS
NONE,VTODO,CALSCALE,NONE,ZERO
NONE,VTODO,CATEGORIES,NONE,ZEROPLUS
NONE,VTODO,CLASS,NONE,ZEROORONE
NONE,VTODO,COMMENT,NONE,ZEROPLUS
NONE,VTODO,COMPLETED,NONE,ZEROORONE
NONE,VTODO,CONTACT,NONE,ZEROPLUS
NONE,VTODO,CREATED,NONE,ZEROORONE
NONE,VTODO,DESCRIPTION,NONE,ZEROORONE
NONE,VTODO,DTEND,NONE,ZERO
NONE,VTODO,DTSTAMP,NONE,ZEROORONE
NONE,VTODO,DTSTART,NONE,ZEROORONE
NONE,VTODO,DUE,NONE,ONEEXCLUSIVE
NONE,VTODO,DURATION,NONE,ONEEXCLUSIVE
NONE,VTODO,EXDATE,NONE,ZEROPLUS
NONE,VTODO,EXRULE,NONE,ZEROPLUS
NONE,VTODO,FREEBUSY,NONE,ZERO
NONE,VTODO,GEO,NONE,ZEROORONE
NONE,VTODO,LASTMODIFIED,NONE,ZEROORONE
NONE,VTODO,LOCATION,NONE,ZEROORONE
NONE,VTODO,METHOD,NONE,ZERO
NONE,VTODO,ORGANIZER,NONE,ZEROORONE
NONE,VTODO,PERCENTCOMPLETE,NONE,ZEROORONE
NONE,VTODO,PRIORITY,NONE,ZEROORONE
NONE,VTODO,PRODID,NONE,ZERO
NONE,VTODO,RDATE,NONE,ZEROPLUS
NONE,VTODO,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
NONE,VTODO,RELATEDTO,NONE,ZEROPLUS
NONE,VTODO,REPEAT,NONE,ZERO
NONE,VTODO,REQUESTSTATUS,NONE,ZEROPLUS
NONE,VTODO,RESOURCES,NONE,ZEROPLUS
NONE,VTODO,RRULE,NONE,ZEROPLUS
NONE,VTODO,SEQUENCE,NONE,ZEROORONE
NONE,VTODO,STATUS,NONE,ZEROORONE
NONE,VTODO,SUMMARY,NONE,ZEROORONE
NONE,VTODO,TRANSP,NONE,ZERO
NONE,VTODO,TRIGGER,NONE,ZERO
NONE,VTODO,TZID,NONE,ZERO
NONE,VTODO,TZNAME,NONE,ZERO
NONE,VTODO,TZOFFSETFROM,NONE,ZERO
NONE,VTODO,TZOFFSETTO,NONE,ZERO
NONE,VTODO,TZURL,NONE,ZERO
NONE,VTODO,UID,NONE,ZEROORONE
NONE,VTODO,URL,NONE,ZEROORONE
NONE,VTODO,VERSION,NONE,ZERO
NONE,VTODO,X,NONE,ZEROPLUS
NONE,VJOURNAL,ACTION,NONE,ZERO
NONE,VJOURNAL,ATTACH,NONE,ZEROPLUS
NONE,VJOURNAL,ATTENDEE,NONE,ZEROPLUS
NONE,VJOURNAL,CALSCALE,NONE,ZERO
NONE,VJOURNAL,CATEGORIES,NONE,ZEROPLUS
NONE,VJOURNAL,CLASS,NONE,ZEROORONE
NONE,VJOURNAL,COMMENT,NONE,ZEROPLUS
NONE,VJOURNAL,COMPLETED,NONE,ZERO
NONE,VJOURNAL,CONTACT,NONE,ZEROPLUS
NONE,VJOURNAL,CREATED,NONE,ZEROORONE
NONE,VJOURNAL,DESCRIPTION,NONE,ZEROORONE
NONE,VJOURNAL,DTEND,NONE,ZERO
NONE,VJOURNAL,DTSTAMP,NONE,ZEROORONE
NONE,VJOURNAL,DTSTART,NONE,ZEROORONE
NONE,VJOURNAL,DUE,NONE,ONEEXCLUSIVE
NONE,VJOURNAL,DURATION,NONE,ONEEXCLUSIVE
NONE,VJOURNAL,EXDATE,NONE,ZEROPLUS
